# Directed graph: reachability.txt
# Transportation reachability of cities in the United States and Canada
# (edge from i to j if the estimated travel time from i to j is less than a threshold)
# Edges are weighted by similarity (more negative --> more dissimilar)
# Nodes: 456 Edges: 27677
# FromNodeId ToNodeId Weight
57 0 -84
113 0 -90
235 0 -170
262 0 -200
347 0 -204
378 0 -187
451 0 -239
15 1 -211
49 1 -173
63 1 -211
74 1 -213
78 1 -243
101 1 -221
102 1 -240
110 1 -188
112 1 -180
153 1 -228
157 1 -221
173 1 -213
184 1 -237
185 1 -207
195 1 -44
201 1 -248
204 1 -214
221 1 -207
227 1 -243
251 1 -211
256 1 -218
264 1 -246
268 1 -210
269 1 -83
274 1 -216
349 1 -212
354 1 -163
361 1 -240
398 1 -161
402 1 -229
417 1 -248
435 1 -193
437 1 -40
438 1 -211
8 2 -205
19 2 -238
32 2 -205
33 2 -209
40 2 -234
50 2 -230
63 2 -216
74 2 -244
76 2 -247
81 2 -161
82 2 -205
90 2 -182
94 2 -49
100 2 -225
101 2 -201
127 2 -158
140 2 -161
142 2 -224
163 2 -223
178 2 -99
180 2 -227
190 2 -203
204 2 -189
222 2 -210
223 2 -200
229 2 -204
241 2 -168
245 2 -165
259 2 -220
264 2 -200
268 2 -247
272 2 -212
276 2 -235
290 2 -214
293 2 -186
304 2 -170
305 2 -248
319 2 -217
321 2 -210
388 2 -154
396 2 -173
402 2 -214
411 2 -211
419 2 -218
420 2 -160
423 2 -210
432 2 -164
444 2 -180
5 3 -241
9 3 -166
11 3 -243
15 3 -165
16 3 -186
18 3 -171
19 3 -97
21 3 -208
32 3 -228
39 3 -243
40 3 -192
43 3 -198
46 3 -107
51 3 -203
55 3 -244
63 3 -203
65 3 -198
66 3 -231
68 3 -81
71 3 -195
74 3 -80
76 3 -58
84 3 -208
85 3 -198
94 3 -248
95 3 -158
96 3 -222
100 3 -165
101 3 -203
102 3 -60
107 3 -212
110 3 -233
123 3 -183
127 3 -218
128 3 -224
129 3 -148
130 3 -208
136 3 -239
139 3 -155
142 3 -208
143 3 -161
144 3 -208
153 3 -153
157 3 -174
159 3 -200
161 3 -216
162 3 -182
163 3 -211
170 3 -244
175 3 -221
179 3 -218
180 3 -184
184 3 -174
190 3 -238
193 3 -204
194 3 -216
201 3 -179
204 3 -215
217 3 -196
221 3 -203
227 3 -173
231 3 -190
237 3 -183
241 3 -213
247 3 -183
250 3 -208
251 3 -178
252 3 -237
256 3 -235
264 3 -243
268 3 -183
269 3 -195
272 3 -225
274 3 -188
276 3 -237
279 3 -197
286 3 -201
290 3 -206
291 3 -225
292 3 -232
293 3 -241
294 3 -92
295 3 -212
298 3 -213
304 3 -243
305 3 -222
308 3 -141
314 3 -227
317 3 -207
319 3 -203
321 3 -227
323 3 -82
336 3 -238
342 3 -195
354 3 -195
355 3 -196
361 3 -158
363 3 -179
376 3 -238
381 3 -205
388 3 -243
393 3 -146
396 3 -208
402 3 -223
406 3 -225
407 3 -195
408 3 -137
415 3 -152
416 3 -212
417 3 -157
418 3 -191
420 3 -243
421 3 -226
427 3 -208
434 3 -185
438 3 -220
440 3 -236
445 3 -227
449 3 -216
10 4 -209
23 4 -245
38 4 -204
41 4 -207
45 4 -223
47 4 -245
60 4 -174
64 4 -244
72 4 -178
74 4 -243
94 4 -225
100 4 -58
101 4 -209
106 4 -203
125 4 -204
133 4 -243
171 4 -233
178 4 -248
192 4 -240
204 4 -244
230 4 -243
238 4 -208
240 4 -185
246 4 -248
304 4 -200
305 4 -214
307 4 -233
325 4 -185
344 4 -185
348 4 -238
360 4 -243
364 4 -248
390 4 -180
394 4 -233
404 4 -236
444 4 -184
3 5 -211
8 5 -248
16 5 -185
19 5 -49
21 5 -188
23 5 -248
27 5 -200
32 5 -184
40 5 -143
43 5 -248
52 5 -234
66 5 -216
67 5 -190
68 5 -175
71 5 -170
74 5 -214
76 5 -205
78 5 -200
84 5 -190
86 5 -231
87 5 -248
94 5 -221
95 5 -194
101 5 -243
102 5 -221
123 5 -192
127 5 -195
128 5 -226
129 5 -217
136 5 -241
143 5 -248
153 5 -210
159 5 -160
162 5 -207
163 5 -165
169 5 -232
178 5 -239
180 5 -156
184 5 -218
190 5 -196
204 5 -247
210 5 -218
217 5 -188
237 5 -218
241 5 -178
247 5 -200
249 5 -170
264 5 -194
265 5 -248
266 5 -236
269 5 -249
274 5 -248
276 5 -188
286 5 -201
290 5 -188
293 5 -229
294 5 -236
296 5 -232
298 5 -225
304 5 -211
305 5 -244
321 5 -190
323 5 -230
326 5 -230
342 5 -190
350 5 -222
352 5 -181
388 5 -226
393 5 -245
396 5 -203
402 5 -188
415 5 -210
416 5 -249
418 5 -175
420 5 -232
421 5 -218
434 5 -200
440 5 -209
441 5 -248
444 5 -249
445 5 -248
449 5 -191
3 6 -181
5 6 -235
9 6 -147
12 6 -192
15 6 -207
16 6 -223
19 6 -140
22 6 -210
27 6 -65
29 6 -220
40 6 -232
43 6 -224
46 6 -60
52 6 -70
63 6 -220
65 6 -206
66 6 -206
67 6 -188
68 6 -117
69 6 -186
71 6 -234
74 6 -111
76 6 -106
77 6 -205
78 6 -80
84 6 -217
85 6 -232
86 6 -165
95 6 -183
101 6 -243
102 6 -83
108 6 -215
109 6 -189
119 6 -155
123 6 -221
128 6 -243
129 6 -188
130 6 -233
131 6 -180
136 6 -250
143 6 -172
153 6 -172
157 6 -217
158 6 -219
159 6 -185
161 6 -233
162 6 -207
165 6 -200
166 6 -250
169 6 -163
175 6 -241
180 6 -223
184 6 -185
193 6 -228
201 6 -209
217 6 -210
221 6 -238
227 6 -203
237 6 -188
241 6 -250
242 6 -202
247 6 -198
251 6 -206
256 6 -244
268 6 -190
269 6 -155
274 6 -208
279 6 -242
280 6 -199
282 6 -175
286 6 -208
288 6 -169
290 6 -190
291 6 -239
293 6 -249
294 6 -55
296 6 -215
298 6 -169
305 6 -243
308 6 -165
315 6 -190
321 6 -214
323 6 -64
326 6 -74
333 6 -210
342 6 -159
350 6 -171
352 6 -194
354 6 -215
357 6 -185
361 6 -199
363 6 -171
377 6 -247
381 6 -230
385 6 -195
390 6 -240
393 6 -193
395 6 -210
396 6 -243
398 6 -235
403 6 -191
408 6 -225
415 6 -160
416 6 -82
417 6 -210
418 6 -224
434 6 -65
438 6 -227
449 6 -219
8 7 -236
10 7 -191
13 7 -60
17 7 -172
19 7 -198
23 7 -150
26 7 -215
32 7 -229
33 7 -223
38 7 -206
41 7 -218
45 7 -178
47 7 -205
53 7 -180
56 7 -238
60 7 -190
64 7 -226
72 7 -140
74 7 -174
76 7 -198
79 7 -60
80 7 -238
81 7 -201
82 7 -83
90 7 -237
94 7 -103
100 7 -69
101 7 -225
104 7 -243
106 7 -200
114 7 -233
115 7 -50
116 7 -208
121 7 -236
125 7 -243
126 7 -45
127 7 -219
133 7 -210
140 7 -203
145 7 -175
147 7 -190
149 7 -165
151 7 -200
156 7 -211
168 7 -236
171 7 -195
172 7 -201
178 7 -126
182 7 -171
192 7 -174
202 7 -240
204 7 -125
206 7 -187
211 7 -196
222 7 -226
223 7 -222
224 7 -190
228 7 -170
229 7 -236
230 7 -80
233 7 -236
236 7 -227
240 7 -213
241 7 -195
243 7 -203
245 7 -233
246 7 -105
248 7 -60
260 7 -165
261 7 -244
267 7 -65
269 7 -158
271 7 -203
273 7 -230
278 7 -226
290 7 -245
293 7 -210
301 7 -185
302 7 -130
304 7 -190
305 7 -190
306 7 -160
307 7 -205
308 7 -240
313 7 -195
316 7 -243
324 7 -60
325 7 -201
328 7 -203
331 7 -160
344 7 -203
346 7 -234
348 7 -205
351 7 -173
356 7 -165
360 7 -210
364 7 -85
366 7 -107
367 7 -100
368 7 -130
369 7 -200
370 7 -228
372 7 -215
374 7 -218
382 7 -170
383 7 -180
388 7 -205
390 7 -209
394 7 -221
396 7 -229
398 7 -250
402 7 -155
404 7 -197
408 7 -235
411 7 -222
419 7 -60
420 7 -205
422 7 -208
423 7 -197
424 7 -184
430 7 -228
432 7 -201
443 7 -219
444 7 -198
451 7 -244
452 7 -237
455 7 -189
2 8 -237
5 8 -225
7 8 -238
13 8 -188
16 8 -218
19 8 -94
21 8 -201
23 8 -171
40 8 -227
50 8 -188
66 8 -206
67 8 -231
68 8 -206
71 8 -240
74 8 -228
76 8 -240
78 8 -245
81 8 -153
82 8 -250
84 8 -216
85 8 -227
86 8 -231
90 8 -180
94 8 -188
96 8 -241
99 8 -237
100 8 -248
101 8 -232
107 8 -199
115 8 -242
123 8 -238
127 8 -210
128 8 -220
144 8 -245
162 8 -201
168 8 -188
178 8 -60
180 8 -186
184 8 -232
193 8 -245
204 8 -223
211 8 -195
217 8 -201
229 8 -240
237 8 -227
247 8 -227
248 8 -193
250 8 -203
259 8 -172
264 8 -85
267 8 -188
276 8 -218
284 8 -245
290 8 -220
304 8 -191
312 8 -245
326 8 -242
342 8 -231
350 8 -242
365 8 -193
366 8 -170
381 8 -212
393 8 -250
402 8 -223
408 8 -231
418 8 -204
420 8 -190
421 8 -240
427 8 -212
430 8 -169
432 8 -174
444 8 -226
3 9 -147
6 9 -143
15 9 -225
16 9 -210
18 9 -209
19 9 -119
21 9 -235
22 9 -210
27 9 -143
29 9 -215
32 9 -248
34 9 -242
40 9 -220
43 9 -224
44 9 -207
46 9 -85
51 9 -223
52 9 -153
55 9 -157
63 9 -224
65 9 -231
66 9 -195
67 9 -177
68 9 -92
69 9 -148
71 9 -225
74 9 -112
76 9 -95
77 9 -185
78 9 -70
84 9 -188
85 9 -226
86 9 -153
87 9 -226
95 9 -168
102 9 -92
107 9 -226
119 9 -156
123 9 -195
128 9 -172
129 9 -175
131 9 -160
142 9 -226
143 9 -205
153 9 -190
157 9 -211
158 9 -200
159 9 -148
162 9 -173
170 9 -176
175 9 -233
180 9 -193
184 9 -189
193 9 -212
194 9 -233
196 9 -180
197 9 -180
201 9 -211
204 9 -228
217 9 -215
221 9 -236
227 9 -210
237 9 -195
240 9 -249
242 9 -215
244 9 -153
251 9 -215
252 9 -158
264 9 -231
265 9 -226
268 9 -175
269 9 -232
272 9 -250
274 9 -225
280 9 -229
282 9 -155
286 9 -206
290 9 -192
292 9 -156
296 9 -197
298 9 -132
308 9 -150
309 9 -208
315 9 -202
319 9 -226
321 9 -217
323 9 -36
326 9 -75
330 9 -162
336 9 -162
342 9 -162
350 9 -126
352 9 -214
355 9 -141
359 9 -205
361 9 -196
363 9 -168
377 9 -220
380 9 -250
381 9 -237
385 9 -206
393 9 -204
395 9 -221
402 9 -211
403 9 -213
406 9 -141
407 9 -240
408 9 -247
415 9 -175
416 9 -85
417 9 -220
418 9 -203
434 9 -86
438 9 -224
445 9 -20
449 9 -162
7 10 -180
17 10 -185
38 10 -201
45 10 -230
63 10 -239
64 10 -25
82 10 -157
91 10 -203
94 10 -230
100 10 -55
111 10 -200
115 10 -195
126 10 -205
145 10 -205
152 10 -195
164 10 -180
204 10 -244
230 10 -215
238 10 -170
246 10 -230
281 10 -190
313 10 -225
324 10 -190
331 10 -235
337 10 -130
351 10 -208
